Opis,Kategoria
Najechanie na tył pojazdu stojącego w korku,Wypadki drogowe
Brak podjazdu dla wózków inwalidzkich do budynku użyteczności publicznej,Pozostałe (inne)
Dzieci bawiące się na zamarzniętym stawie bez nadzoru,Niebezpieczne sytuacje
Niezabezpieczony plac budowy na który wchodzą postronne osoby,Niebezpieczne sytuacje
Jazda na rolkach lub deskorolce po ruchliwej ulicy,Zagrożenia dla pieszych i uczestników ruchu
Graffiti na świeżo odnowionej elewacji zabytku,Wandalizm
Wyrywanie znaków drogowych z ziemi,Wandalizm
Uszkodzone niestabilne schody prowadzące do budynku publicznego,Niebezpieczne sytuacje
Stare meble wystawione na trawnik przed blokiem,Zaśmiecanie i nielegalne wysypiska
Rdzewiejące i dziurawe barierki ochronne,Infrastruktura drogowa i chodniki
Graffiti na elewacji budynku przy ulicy Floriańskiej,Wandalizm
Brak poręczy przy stromych schodach publicznych,Infrastruktura drogowa i chodniki
Prośba o utworzenie wybiegu dla psów,Pozostałe (inne)
Wchodzenie do jaskiń bez odpowiedniego sprzętu i przewodnika,Niebezpieczne sytuacje
Chore drzewo z którego opadają zainfekowane liście,Zagrożenia biologiczne
Uszkodzony próg zwalniający powodujący hałas,Infrastruktura drogowa i chodniki
Śliska nawierzchnia jezdni z powodu wycieku oleju,Zagrożenia dla pieszych i uczestników ruchu
Iskrząca skrzynka elektryczna przy bloku na osiedlu Widok,Niebezpieczne sytuacje
Rozmowa przez telefon komórkowy bez zestawu głośnomówiącego podczas jazdy,Zachowania uczestników ruchu (kierowcy i piesi)
Uszkodzona nawierzchnia z kostki brukowej,Infrastruktura drogowa i chodniki
Plaga szczurów w piwnicach i przy śmietnikach na osiedlu,Zagrożenia biologiczne
Dzikie wysypisko śmieci w Lesie Wolskim,Zaśmiecanie i nielegalne wysypiska
Upuszczanie przedmiotów z wiaduktu na przejeżdżające samochody,Niebezpieczne sytuacje
Pojawienie się jadowitych pająków w piwnicy,Zagrożenia biologiczne
Zniszczona stacja meteorologiczna w parku,Wandalizm
Samochody parkujące na chodniku zmuszają pieszych do chodzenia ulicą,Zagrożenia dla pieszych i uczestników ruchu
Brak chodnika wzdłuż ruchliwej drogi,Zagrożenia dla pieszych i uczestników ruchu
Wyrzucanie śmieci na cmentarzach,Zaśmiecanie i nielegalne wysypiska
Niedostatecznie zabezpieczony fajerwerkami pokaz amatorski,Niebezpieczne sytuacje
Wypadek na przejeździe kolejowo-drogowym,Wypadki drogowe
Zderzenie dwóch rowerzystów,Wypadki drogowe
Wiszący konar drzewa nad chodnikiem grozi złamaniem,Niebezpieczne sytuacje
Niedziałający domofon w całym bloku,Pozostałe (inne)
Zajeżdżanie drogi innym pojazdom,Zachowania uczestników ruchu (kierowcy i piesi)
Brak oświetlenia na zakręcie drogi poza terenem zabudowanym,Zagrożenia dla pieszych i uczestników ruchu
Rozbita butelka na ścieżce rowerowej wzdłuż Wisły,Wandalizm
Spadające sople lodu z dachu wysokiego budynku,Niebezpieczne sytuacje
Ograniczenie widoczności przez parkujące wraki aut,Zagrożenia dla pieszych i uczestników ruchu
Niewystarczająca liczba stojaków na rowery,Pozostałe (inne)
Utrudnienia w ruchu z powodu kolizji na Rondzie Grzegórzeckim,Wypadki drogowe
Zbyt wysoki krawężnik na podjeździe dla wózków,Infrastruktura drogowa i chodniki
Zapadnięta nawierzchnia wokół studzienki telekomunikacyjnej,Infrastruktura drogowa i chodniki
Nieprzyjemny zapach z kanalizacji na całej ulicy,Pozostałe (inne)
Zbyt głośna muzyka z lokalu gastronomicznego w nocy,Pozostałe (inne)
Gruz budowlany wysypany na polnej drodze za osiedlem,Zaśmiecanie i nielegalne wysypiska
Problem z bezdomnymi zwierzętami,Pozostałe (inne)
Zderzenie motocyklisty z sarną,Wypadki drogowe
Kolizja na parkingu podczas manewru cofania,Wypadki drogowe
Niezabezpieczony głęboki wykop przy nowej inwestycji deweloperskiej,Niebezpieczne sytuacje
Nawierzchnia chodnika jest tak zniszczona że jest niebezpieczna dla osób starszych,Zagrożenia dla pieszych i uczestników ruchu
Pozostawione odpady po grillu w miejscu publicznym,Zaśmiecanie i nielegalne wysypiska
Potrącenie rowerzysty przejeżdżającego na czerwonym świetle,Wypadki drogowe
Pozostawione puste opakowania po nawozach na polu,Zaśmiecanie i nielegalne wysypiska
Nieustąpienie pierwszeństwa pojazdowi uprzywilejowanemu na sygnale,Zachowania uczestników ruchu (kierowcy i piesi)
Uszkodzona wiata przystankowa niechroniąca przed deszczem,Infrastruktura drogowa i chodniki
Niezabezpieczone materiały budowlane na dachu podczas wichury,Niebezpieczne sytuacje
Zniszczenie mienia publicznego w przejściu podziemnym,Wandalizm
Niewidoczny w nocy pieszy bez żadnych elementów odblaskowych,Zagrożenia dla pieszych i uczestników ruchu
Zderzenie czołowe dwóch aut na drodze krajowej nr 7,Wypadki drogowe
Potrzebna renowacja placu zabaw,Pozostałe (inne)
Prośba o przycięcie żywopłotu zasłaniającego widok,Pozostałe (inne)
Stos starych opon za garażami osiedlowymi,Zaśmiecanie i nielegalne wysypiska
Wypadek śmiertelny na drodze krajowej,Wypadki drogowe
Wypadek z udziałem pijanego kierowcy,Wypadki drogowe
Zbyt duża szczelina dylatacyjna na moście,Infrastruktura drogowa i chodniki
Prośba o lepsze oznakowanie dojazdu do szpitala,Pozostałe (inne)
Wymuszanie pierwszeństwa na rondzie,Zachowania uczestników ruchu (kierowcy i piesi)
Rowerzysta jadący po chodniku z dużą prędkością,Zachowania uczestników ruchu (kierowcy i piesi)
Zniszczony asfalt na przystanku autobusowym,Infrastruktura drogowa i chodniki
Wylanie betonu do muszli klozetowej w toalecie publicznej,Wandalizm
Kolizja wielu pojazdów z powodu gęstej mgły,Wypadki drogowe
Niestabilny chyboczący się maszt flagowy,Niebezpieczne sytuacje
Jazda pod prąd na ulicy jednokierunkowej,Zachowania uczestników ruchu (kierowcy i piesi)
Prośba o odnowienie oznakowania poziomego na parkingu,Pozostałe (inne)
Zniszczenie nawierzchni boiska sportowego,Wandalizm
Chodnik zastawiony przez hulajnogi elektryczne,Zagrożenia dla pieszych i uczestników ruchu
Cysterna przewróciła się na rondzie powodując wyciek substancji,Wypadki drogowe
Brak informacji o zmianach w kursowaniu autobusów na przystanku,Pozostałe (inne)
Ktoś wyrzucił starą kanapę i fotele obok altany śmietnikowej,Zaśmiecanie i nielegalne wysypiska
Dziura w jezdni stanowiąca zagrożenie dla pojazdów,Zagrożenia dla pieszych i uczestników ruchu
Pęknięta płyta chodnikowa przy przejściu dla pieszych na Rondzie Grunwaldzkim,Infrastruktura drogowa i chodniki
Worki ze śmieciami regularnie wyrzucane do rzeki Wilgi,Zaśmiecanie i nielegalne wysypiska
Śliskie metalowe pokrywy studzienek na ścieżce rowerowej,Zagrożenia dla pieszych i uczestników ruchu
Wyrwana deska z mostku w Parku Decjusza,Wandalizm
Wypadek spowodowany przez zasłabnięcie kierowcy,Wypadki drogowe
Rozprzestrzeniające się ognisko barszczu Sosnowskiego przy ścieżce spacerowej,Zagrożenia biologiczne
Brak przejścia dla pieszych przy nowym supermarkecie,Infrastruktura drogowa i chodniki
Kontakt z odchodami nietoperzy w starej szopie,Zagrożenia biologiczne
Zniszczony stojak na rowery przy galerii handlowej,Wandalizm
Wylewanie nieczystości płynnych z szamba na pole,Zagrożenia biologiczne
Zamazanie farbą tablicy z nazwą ulicy,Wandalizm
Duży ruch ciężarówek w strefie zamieszkania,Zagrożenia dla pieszych i uczestników ruchu
Rozkładające się zwłoki zwierzęcia na poboczu drogi,Zagrożenia biologiczne
Zauważono lisa z objawami wścieklizny w pobliżu domów,Zagrożenia biologiczne
Nagminne wyrzucanie niedopałków przez balkon,Zaśmiecanie i nielegalne wysypiska
Wypadek spowodowany pęknięciem opony podczas jazdy,Wypadki drogowe
Zapadnięta kostka brukowa na rynku,Infrastruktura drogowa i chodniki
Wypadek na niestrzeżonym przejeździe kolejowym,Wypadki drogowe
Nachylony słup energetyczny grożący przewróceniem,Niebezpieczne sytuacje
Brak odpowiedzi ze strony administracji na pisma mieszkańców,Pozostałe (inne)
Brak oświetlenia na długim odcinku ścieżki rowerowej wzdłuż rzeki,Zagrożenia dla pieszych i uczestników ruchu
Rozbita lampa oświetlająca ulicę,Wandalizm
Brak podjazdu dla wózków przy schodach,Zagrożenia dla pieszych i uczestników ruchu
Porzucony wrak samochodu na parkingu osiedlowym,Zaśmiecanie i nielegalne wysypiska
Zderzenie autobusu szkolnego z samochodem ciężarowym,Wypadki drogowe
Szybki ruch samochodowy w pobliżu szkoły i brak progów zwalniających,Zagrożenia dla pieszych i uczestników ruchu
Śliska nawierzchnia z powodu dużej plamy rozlanego oleju na jezdni,Niebezpieczne sytuacje
Materiał budowlany pozostawiony na chodniku,Niebezpieczne sytuacje
Prośba o wyznaczenie strefy dla palących,Pozostałe (inne)
Wystający pręt z chodnika po starym znaku drogowym,Infrastruktura drogowa i chodniki
Niedziałająca sygnalizacja dźwiękowa na przejściu dla pieszych,Zagrożenia dla pieszych i uczestników ruchu
Zbyt wysokie krawężniki utrudniające poruszanie się wózkiem,Pozostałe (inne)
Brak pasów dla pieszych w miejscu o dużym natężeniu ruchu,Zagrożenia dla pieszych i uczestników ruchu
Brakujący fragment krawężnika przy ulicy,Infrastruktura drogowa i chodniki
Nielegalny pochówek zwierząt w lesie,Zagrożenia biologiczne
Niebezpieczne zabawy z ogniem w lesie,Niebezpieczne sytuacje
Niewłaściwie oznakowane progi zwalniające,Zagrożenia dla pieszych i uczestników ruchu
Zdemontowana na zimę a nie zamontowana na lato ławka,Infrastruktura drogowa i chodniki
Uciążliwy hałas w nocy z powodu imprezy u sąsiadów,Pozostałe (inne)
Głośna praca agregatów prądotwórczych w nocy,Pozostałe (inne)
Nielegalne wysypisko opon w starym kamieniołomie,Zaśmiecanie i nielegalne wysypiska
Uszkodzona nawierzchnia na parkingu Park and Ride,Infrastruktura drogowa i chodniki
Nagłe otwarcie drzwi samochodu od strony ulicy,Zagrożenia dla pieszych i uczestników ruchu
Wyrzucanie przeterminowanych leków do publicznych koszy,Zaśmiecanie i nielegalne wysypiska
Zwisające luźne dachówki z dachu kamienicy,Niebezpieczne sytuacje
Progi zwalniające są zbyt wysokie i uszkadzają zawieszenie,Infrastruktura drogowa i chodniki
Nielegalny handel środkami pirotechnicznymi,Niebezpieczne sytuacje
Zagrożenie afrykańskim pomorem świń (ASF),Zagrożenia biologiczne
Wypadek spowodowany nieprawidłowym wyprzedzaniem,Wypadki drogowe
Wykryto ognisko ptasiej grypy w pobliskim gospodarstwie,Zagrożenia biologiczne
Wyrywanie stron z książek w bibliotece plenerowej,Wandalizm
Zniszczenie karmnika dla ptaków,Wandalizm
Znaleziono kleszcze zakażone boreliozą w miejskim parku,Zagrożenia biologiczne
Zapadnięty fragment jezdni po pracach wodociągowych,Infrastruktura drogowa i chodniki
Samochód który uderzył w słup oświetleniowy,Wypadki drogowe
Nielegalne wyścigi samochodowe organizowane nocami na ulicy,Niebezpieczne sytuacje
Brak koszy na psie odchody w parku,Pozostałe (inne)
Plaga owadów niszcząca drzewa w parku miejskim,Zagrożenia biologiczne
Jazda na rowerze po przejściu dla pieszych,Zachowania uczestników ruchu (kierowcy i piesi)
Uderzenie w barierki na moście,Wypadki drogowe
Przepełnione kosze na śmieci na Bulwarach Wiślanych,Zaśmiecanie i nielegalne wysypiska
Zajmowanie dwóch miejsc parkingowych przez jeden samochód,Zachowania uczestników ruchu (kierowcy i piesi)
Uszkodzona balustrada na moście nad rzeką,Niebezpieczne sytuacje
Zbyt duża prędkość pojazdów w strefie mieszkalnej,Zagrożenia dla pieszych i uczestników ruchu
Zdekoncentrowany kierowca jedzący lub pijący podczas jazdy,Zagrożenia dla pieszych i uczestników ruchu
Wylewanie zużytego oleju silnikowego do kratki ściekowej,Zaśmiecanie i nielegalne wysypiska
Niedziałająca fontanna miejska,Pozostałe (inne)
Celowe zapychanie publicznych koszy na śmieci odpadami domowymi,Zaśmiecanie i nielegalne wysypiska
Samochód dostawczy blokuje cały chodnik podczas rozładunku,Zachowania uczestników ruchu (kierowcy i piesi)
Wjeżdżanie na przejazd kolejowy gdy zapory już opadają,Zachowania uczestników ruchu (kierowcy i piesi)
Najechanie na tył pojazdu stojącego na światłach,Wypadki drogowe
Brak barierek oddzielających chodnik od ruchliwej jezdni,Zagrożenia dla pieszych i uczestników ruchu
Autokar turystyczny miał awarię i zablokował pas ruchu,Wypadki drogowe
Dym wydobywający się z okna opuszczonego magazynu,Niebezpieczne sytuacje
Przecięta siatka ogrodzeniowa przy placu zabaw,Wandalizm
Złamany maszt flagowy przed budynkiem urzędu,Infrastruktura drogowa i chodniki
Ktoś wysypał całą przyczepę śmieci na poboczu drogi,Zaśmiecanie i nielegalne wysypiska
Wystające pręty zbrojeniowe z niedokończonej konstrukcji,Niebezpieczne sytuacje
Odpady chemiczne z produkcji rolnej porzucone na miedzy,Zaśmiecanie i nielegalne wysypiska
Brak wyznaczonych miejsc do przechodzenia przez torowisko,Zagrożenia dla pieszych i uczestników ruchu
Resztki jedzenia wyrzucane przez okno samochodu,Zaśmiecanie i nielegalne wysypiska
Konieczność przycięcia gałęzi drzew wchodzących w okna,Pozostałe (inne)
Niedrożna kratka ściekowa powodująca powstawanie kałuż,Infrastruktura drogowa i chodniki
Zanieczyszczenie gleby substancjami ropopochodnymi,Zagrożenia biologiczne
Kolizja przy zmianie pasa ruchu,Wypadki drogowe
Drut kolczasty zwisający z ogrodzenia na wysokości głowy,Niebezpieczne sytuacje
Kierowcy nieustępujący pierwszeństwa pieszym na pasach,Zagrożenia dla pieszych i uczestników ruchu
"Zatrzymywanie się na przystanku ""na życzenie"" w ostatniej chwili",Zachowania uczestników ruchu (kierowcy i piesi)
Niedziałające publiczne Wi-Fi,Pozostałe (inne)
Autobus który wjechał do rowu,Wypadki drogowe
Skakanie do wody w nieznanym miejscu na główkę,Niebezpieczne sytuacje
Awaria oświetlenia w tunelu pod torami kolejowymi,Infrastruktura drogowa i chodniki
Wiszący element elewacji który może spaść,Niebezpieczne sytuacje
Wąski chodnik na którym z trudem mijają się dwie osoby,Zagrożenia dla pieszych i uczestników ruchu
Samochód ciężarowy zahaczył o wiadukt,Wypadki drogowe
Porzucone części samochodowe na parkingu leśnym,Zaśmiecanie i nielegalne wysypiska
Rowerzysta wykonujący nagły skręt bez sygnalizacji,Zagrożenia dla pieszych i uczestników ruchu
Niewystarczające oświetlenie parkingu,Zagrożenia dla pieszych i uczestników ruchu
Złamana lub skorodowana barierka ochronna przy drodze,Infrastruktura drogowa i chodniki
Kruszący się asfalt na poboczu drogi,Infrastruktura drogowa i chodniki
Pieszy przechodzący przez jezdnię w niedozwolonym miejscu zmuszając auta do hamowania,Zachowania uczestników ruchu (kierowcy i piesi)
Wyrzucanie niedopałków przez okno jadącego auta,Zachowania uczestników ruchu (kierowcy i piesi)
Bardzo słaba widoczność na zakręcie z powodu nieprzyciętych krzewów,Niebezpieczne sytuacje
Pływanie na materacu daleko od brzegu podczas silnego wiatru,Niebezpieczne sytuacje
Znaleziono niewybuch z czasów wojny podczas prac budowlanych,Niebezpieczne sytuacje
Niebezpieczne skrzyżowanie bez sygnalizacji w pobliżu szkoły,Zagrożenia dla pieszych i uczestników ruchu
Zbyt głośne dzwony kościelne w nocy,Pozostałe (inne)
Odpady z remontu porzucone na parkingu,Zaśmiecanie i nielegalne wysypiska
Zniszczona skrzynka na listy przy ulicy Długiej,Wandalizm
Otwarte studzienki kanalizacyjne bez zabezpieczenia,Niebezpieczne sytuacje
Graffiti i śmieci w przejściu podziemnym,Zaśmiecanie i nielegalne wysypiska
Silny wiatr zrywający dach z budynku,Niebezpieczne sytuacje
Brak ścieżki dla niewidomych przy ważnym urzędzie,Infrastruktura drogowa i chodniki
Zamazana farbą mapa szlaków turystycznych w Ojcowskim Parku Narodowym,Wandalizm
Dzieci bawiące się na zamarzniętym stawie o cienkim lodzie,Niebezpieczne sytuacje
Wyblakłe i nieczytelne tablice z nazwami ulic,Infrastruktura drogowa i chodniki
Porzucone opony samochodowe w rowie melioracyjnym,Zaśmiecanie i nielegalne wysypiska
Zniszczona klawiatura w automacie paczkowym,Wandalizm
Potrącenie pieszego na przejściu dla pieszych,Wypadki drogowe
Brak strefy buforowej między ścieżką rowerową a jezdnią,Zagrożenia dla pieszych i uczestników ruchu
Inwazja szerszeni azjatyckich,Zagrożenia biologiczne
Przewrócone znaki drogowe,Wandalizm
Zaniedbany i zarośnięty chwastami skwer miejski,Pozostałe (inne)
Kierowca taksówki odmawia kursu lub znacznie zawyża cenę,Zachowania uczestników ruchu (kierowcy i piesi)
Zniszczenie szlabanu na wjeździe na osiedle,Wandalizm
Chmura pyłków zagrażająca alergikom,Zagrożenia biologiczne
Porysowane szyby w nowym tramwaju,Wandalizm
Wypadek z powodu awarii hamulców,Wypadki drogowe
Zablokowana droga pożarowa uniemożliwia dojazd służb,Niebezpieczne sytuacje
Samochód uderzył w stado dzików na drodze ekspresowej,Wypadki drogowe
Nieczytelne piktogramy na jezdni (rower koperta),Infrastruktura drogowa i chodniki
Zbyt krótki zielony sygnał dla pieszych na dużym skrzyżowaniu,Zagrożenia dla pieszych i uczestników ruchu
Prace drogowe bez odpowiedniego oznakowania i zabezpieczenia dla pieszych,Zagrożenia dla pieszych i uczestników ruchu
Agresywny biegający bez kagańca i smyczy pies,Niebezpieczne sytuacje
Wymuszanie pierwszeństwa przez kierowców wyjeżdżających z podporządkowanej,Zachowania uczestników ruchu (kierowcy i piesi)
Odpady pozostawione po nielegalnym obozowisku,Zaśmiecanie i nielegalne wysypiska
Oślepiające reklamy LED przy drodze rozpraszające kierowców,Zagrożenia dla pieszych i uczestników ruchu
Worki ze śmieciami zostawione obok pełnego śmietnika,Zaśmiecanie i nielegalne wysypiska
Nielegalne składowisko butli z gazem w pobliżu zabudowań,Niebezpieczne sytuacje
Samochód uderzył w pociąg na przejeździe,Wypadki drogowe
Brak barierek na stromym nasypie wzdłuż drogi,Infrastruktura drogowa i chodniki
Odłamanie lusterek w zaparkowanych samochodach,Wandalizm
Długotrwała awaria oświetlenia ulicznego na całej ulicy,Pozostałe (inne)
Wypadek z udziałem nietrzeźwego rowerzysty,Wypadki drogowe
Bezpańskie koty przenoszące choroby,Zagrożenia biologiczne
Zbyt szybko jadące pojazdy w strefie zamieszkania,Zagrożenia dla pieszych i uczestników ruchu
Kolizja na parkingu supermarketu,Wypadki drogowe
Zatrucie tlenkiem węgla z powodu niesprawnego piecyka,Niebezpieczne sytuacje
Niezabezpieczona stacja transformatorowa,Niebezpieczne sytuacje
Gołębie zanieczyszczające zabytkowy budynek,Pozostałe (inne)
Spadające dachówki z dachu starego domu,Niebezpieczne sytuacje
Ciągłe przekraczanie dozwolonej prędkości w strefie zamieszkania,Zachowania uczestników ruchu (kierowcy i piesi)
Wypadek z udziałem pojazdu nauki jazdy,Wypadki drogowe
Zdewastowany telefon alarmowy na autostradzie,Pozostałe (inne)
Plaga gołębi zanieczyszczających balkony i parapety,Niebezpieczne sytuacje
Pozostawione śmieci po targu,Zaśmiecanie i nielegalne wysypiska
Celowe uszkodzenie domofonu w bloku,Wandalizm
Brak wyznaczonej drogi dla pieszych na terenie budowy,Zagrożenia dla pieszych i uczestników ruchu
Niedrożny system odprowadzania wody z ulicy,Infrastruktura drogowa i chodniki
Zniszczony kosz na śmieci przy Błoniach,Wandalizm
Kolizja spowodowana przez zwierzę domowe w samochodzie,Wypadki drogowe
Porzucanie choinek w miejscach niedozwolonych po świętach,Zaśmiecanie i nielegalne wysypiska
Kolizja spowodowana nagłym hamowaniem,Wypadki drogowe
Piesi przechodzący przez jezdnię w niedozwolonym miejscu,Zagrożenia dla pieszych i uczestników ruchu
Porzucone odpady poubojowe w lesie,Zagrożenia biologiczne
Wniosek o remont klatki schodowej,Pozostałe (inne)
Kierowca gestykulujący i krzyczący na innych uczestników ruchu,Zachowania uczestników ruchu (kierowcy i piesi)
Chodzenie po zamarzniętej rzece o cienkim lodzie,Niebezpieczne sytuacje
Brak lustra drogowego na skrzyżowaniu o ograniczonej widoczności,Zagrożenia dla pieszych i uczestników ruchu
Brak wydzielonego miejsca oczekiwania dla pieszych na wysepce,Zagrożenia dla pieszych i uczestników ruchu
Uszkodzone i zdewastowane huśtawki na placu zabaw,Wandalizm
Uszkodzony znak drogowy Stop jest przekrzywiony i niewidoczny,Infrastruktura drogowa i chodniki
Wchodzenie na jezdnię bezpośrednio zza autobusu,Zachowania uczestników ruchu (kierowcy i piesi)
Odpady komunalne wysypane na poboczu drogi,Zaśmiecanie i nielegalne wysypiska
Nierówności na ścieżce rowerowej,Infrastruktura drogowa i chodniki
Dachowanie samochodu osobowego na śliskiej nawierzchni,Wypadki drogowe
Zniszczenie tablic informacyjnych na szlaku turystycznym,Wandalizm
Nielegalne podrzucanie śmieci do kontenerów na osiedlu zamkniętym,Zaśmiecanie i nielegalne wysypiska
Porzucony sprzęt sportowy np rower lub hulajnoga,Zaśmiecanie i nielegalne wysypiska
Wygaszone oświetlenie na przejściu dla pieszych w nocy,Zagrożenia dla pieszych i uczestników ruchu
Niewłaściwie zamontowane progi zwalniające szarpią pojazdami,Infrastruktura drogowa i chodniki
Plaga szczurów w piwnicach starej kamienicy,Zagrożenia biologiczne
Najechanie na tył innego pojazdu w korku,Wypadki drogowe
Ugryzienie przez bezpańskie zwierzę,Zagrożenia biologiczne
Delikatna stłuczka bez rannych ale są utrudnienia,Wypadki drogowe
Nieprzyjemny zapach z pobliskiego zakładu produkcyjnego,Pozostałe (inne)
Odpady biodegradowalne wyrzucane do lasu,Zaśmiecanie i nielegalne wysypiska
Wymalowane niecenzuralne słowa na murze szkoły,Wandalizm
Niezabezpieczona studnia na prywatnej posesji przy drodze,Niebezpieczne sytuacje
Zapadnięta studzienka telekomunikacyjna na chodniku,Infrastruktura drogowa i chodniki
Notoryczne parkowanie na zakazie na ulicy Miodowej,Zachowania uczestników ruchu (kierowcy i piesi)
Zerwana linia energetyczna leżąca na drodze,Niebezpieczne sytuacje
Porzucona kocia karma przyciągająca szczury,Zagrożenia biologiczne
Wystający właz studzienki kanalizacyjnej,Infrastruktura drogowa i chodniki
Wyrzucanie śmieci do lasu z przejeżdżających samochodów,Zaśmiecanie i nielegalne wysypiska
Uszkodzony mechanizm zegara słonecznego w parku,Wandalizm
Zamazana farbą kamera monitoringu,Wandalizm
Rozrzucone gwoździe na parkingu samochodowym,Wandalizm
Jazda buspasem bez uprawnień,Zachowania uczestników ruchu (kierowcy i piesi)
Powybijane lustra w publicznej toalecie na dworcu,Wandalizm
Wyrwane kwiaty z klombu na Placu Wszystkich Świętych,Wandalizm
Skażenie terenu po awarii w zakładzie przemysłowym,Zagrożenia biologiczne
Przechodzenie przez jezdnię patrząc w smartfon,Zachowania uczestników ruchu (kierowcy i piesi)
Martwe ptaki znalezione w parku,Zagrożenia biologiczne
Wyłamane szczeble w płocie otaczającym park,Wandalizm
Brak ścieżki rowerowej wzdłuż ruchliwej ulicy a rowerzyści jeżdżą jezdnią,Zagrożenia dla pieszych i uczestników ruchu
Używanie otwartego ognia w stodole pełnej siana,Niebezpieczne sytuacje
Brak automatu biletowego w popularnej lokalizacji,Pozostałe (inne)
Uderzenie w drzewo lub słup,Wypadki drogowe
Chodzenie po krawędzi dachu wysokiego budynku,Niebezpieczne sytuacje
Zderzenie boczne na skrzyżowaniu z sygnalizacją świetlną,Wypadki drogowe
Brud i śmieci w przejściu podziemnym pod rondem,Zaśmiecanie i nielegalne wysypiska
Piesi idący niewłaściwą stroną drogi bez pobocza,Zagrożenia dla pieszych i uczestników ruchu
Kierowca nie zachowujący bezpiecznego odstępu od rowerzysty,Zachowania uczestników ruchu (kierowcy i piesi)
Uszkodzenie defibrylatora AED w miejscu publicznym,Wandalizm
Zbyt stromy podjazd dla wózków inwalidzkich niezgodny z normami,Infrastruktura drogowa i chodniki
Zniszczenie uli w pasiece miejskiej,Wandalizm
Zadymienie spowodowane spalaniem toksycznych odpadów,Zagrożenia biologiczne
Brak reakcji spółdzielni na zgłoszenie o zalaniu,Pozostałe (inne)
Głęboki wykop budowlany bez odpowiedniego ogrodzenia,Niebezpieczne sytuacje
Kierowca ciągnika rolniczego bez oświetlenia w nocy,Zagrożenia dla pieszych i uczestników ruchu
Przystanek autobusowy zlokalizowany na wąskim poboczu,Zagrożenia dla pieszych i uczestników ruchu
Połamane młode drzewka na Plantach,Wandalizm
Zniszczony zamek w drzwiach do klatki schodowej,Wandalizm
Odpady z hodowli zwierząt wyrzucane do lasu,Zaśmiecanie i nielegalne wysypiska
Śmieci po piknikach zostawione na Błoniach,Zaśmiecanie i nielegalne wysypiska
Zderzenie rowerzysty z pieszym na ścieżce rowerowej,Wypadki drogowe
Wyprowadzanie psa bez smyczy w miejscu publicznym,Zachowania uczestników ruchu (kierowcy i piesi)
Przeciążona winda w budynku mieszkalnym,Niebezpieczne sytuacje
Prowadzenie pojazdu w butach na wysokim obcasie lub klapkach,Zachowania uczestników ruchu (kierowcy i piesi)
Zgubione dziecko w centrum handlowym,Niebezpieczne sytuacje
Zaśmiecony teren po imprezie plenerowej,Zaśmiecanie i nielegalne wysypiska
Obluzowana kostka brukowa na Rynku Głównym,Infrastruktura drogowa i chodniki
Zniszczenie mapy turystycznej na szlaku,Wandalizm
Pieszy przebiegający przez autostradę,Zachowania uczestników ruchu (kierowcy i piesi)
Wyrzucanie gruzu budowlanego do lasu,Zaśmiecanie i nielegalne wysypiska
Zdewastowana publiczna toaleta w parku,Wandalizm
Nielegalne próby podłączenia się do sieci energetycznej,Niebezpieczne sytuacje
Otwarty szyb windy w remontowanym budynku,Niebezpieczne sytuacje
Celowe uszkodzenie automatu biletowego,Wandalizm
Komary i meszki w ogromnych ilościach z powodu zaniedbanego zbiornika wodnego,Zagrożenia biologiczne
Resztki jedzenia i opakowania porozrzucane wokół budki z kebabem,Zaśmiecanie i nielegalne wysypiska
Niebezpieczne przejście dla pieszych za zakrętem,Zagrożenia dla pieszych i uczestników ruchu
Ostre metalowe elementy wystające z ogrodzenia tuż przy chodniku,Zagrożenia dla pieszych i uczestników ruchu
Pęknięta gałąź zwisająca nad placem zabaw,Niebezpieczne sytuacje
Nieczynna winda w przychodni lekarskiej,Pozostałe (inne)
Konieczność wymiany starych skrzynek pocztowych,Pozostałe (inne)
Ciężarówka zgubiła ładunek na autostradzie,Wypadki drogowe
Wyrwane siedzisko z krzesełka na przystanku,Wandalizm
Kolizja rowerzysty z samochodem osobowym na ścieżce rowerowej,Wypadki drogowe
Niezachowanie bezpiecznego odstępu od rowerzysty,Zachowania uczestników ruchu (kierowcy i piesi)
Próba samodzielnej naprawy instalacji elektrycznej pod napięciem,Niebezpieczne sytuacje
Brak chodnika po jednej stronie mostu,Zagrożenia dla pieszych i uczestników ruchu
Wybita szyba na przystanku autobusowym Teatr Słowackiego,Wandalizm
Problem z odbiorem telewizji naziemnej w całym rejonie,Pozostałe (inne)
Bardzo głośny wydech motocykla straszący pieszych,Zagrożenia dla pieszych i uczestników ruchu
Wyciek nieznanej substancji chemicznej do rzeki,Zagrożenia biologiczne
Zniszczenie muralu o wartości artystycznej,Wandalizm
Pozostawione bez nadzoru ognisko w lesie,Niebezpieczne sytuacje
Głośne prace budowlane prowadzone w niedzielę od rana,Pozostałe (inne)
Wypadek z udziałem motocyklisty na moście Kotlarskim,Wypadki drogowe
Odpady z produkcji rolnej na poboczu,Zaśmiecanie i nielegalne wysypiska
Zaniedbana zatoka autobusowa z dziurami,Infrastruktura drogowa i chodniki
Stłuczka dwóch samochodów na skrzyżowaniu alei Mickiewicza i Czarnowiejskiej,Wypadki drogowe
Dziury w jezdni prowizorycznie załatane,Infrastruktura drogowa i chodniki
